Port,Status
22,200
21,200
53,200
80,200
113,Non-accessible
143,200
123,200
1,Non-accessible
2,Non-accessible
3,Non-accessible
4,Non-accessible
5,Non-accessible
6,Non-accessible
7,Non-accessible
8,Non-accessible
9,Non-accessible
10,Non-accessible
11,Non-accessible
12,Non-accessible
13,Non-accessible
14,Non-accessible
16,Non-accessible
15,Non-accessible
19,Non-accessible
17,Non-accessible
18,Non-accessible
20,Non-accessible
23,Non-accessible
24,Non-accessible
25,Non-accessible
26,Non-accessible
28,Non-accessible
27,Non-accessible
29,Non-accessible
30,Non-accessible
31,Non-accessible
32,Non-accessible
34,Non-accessible
33,Non-accessible
37,Non-accessible
35,Non-accessible
36,Non-accessible
38,Non-accessible
40,Non-accessible
39,Non-accessible
41,Non-accessible
42,Non-accessible
43,Non-accessible
44,Non-accessible
45,Non-accessible
46,Non-accessible
47,Non-accessible
49,Non-accessible
48,Non-accessible
51,Non-accessible
50,Non-accessible
52,Non-accessible
54,Non-accessible
55,Non-accessible
56,Non-accessible
57,Non-accessible
58,Non-accessible
59,Non-accessible
60,Non-accessible
61,Non-accessible
62,Non-accessible
63,Non-accessible
64,Non-accessible
65,Non-accessible
67,Non-accessible
66,Non-accessible
68,Non-accessible
69,Non-accessible
70,Non-accessible
71,Non-accessible
72,Non-accessible
73,Non-accessible
74,Non-accessible
75,Non-accessible
76,Non-accessible
77,Non-accessible
78,Non-accessible
79,Non-accessible
81,Non-accessible
82,Non-accessible
83,Non-accessible
86,Non-accessible
85,Non-accessible
84,Non-accessible
87,Non-accessible
88,Non-accessible
89,Non-accessible
90,Non-accessible
91,Non-accessible
92,Non-accessible
93,Non-accessible
95,Non-accessible
94,Non-accessible
96,Non-accessible
97,Non-accessible
98,Non-accessible
99,Non-accessible
100,Non-accessible
101,Non-accessible
102,Non-accessible
103,Non-accessible
104,Non-accessible
105,Non-accessible
107,Non-accessible
106,Non-accessible
108,Non-accessible
109,Non-accessible
110,Non-accessible
112,Non-accessible
111,Non-accessible
114,Non-accessible
116,Non-accessible
115,Non-accessible
117,Non-accessible
118,Non-accessible
119,Non-accessible
120,Non-accessible
121,Non-accessible
122,Non-accessible
124,Non-accessible
125,Non-accessible
126,Non-accessible
127,Non-accessible
128,Non-accessible
129,Non-accessible
130,Non-accessible
131,Non-accessible
132,Non-accessible
134,Non-accessible
133,Non-accessible
135,Non-accessible
136,Non-accessible
137,Non-accessible
138,Non-accessible
139,Non-accessible
140,Non-accessible
141,Non-accessible
142,Non-accessible
144,Non-accessible
145,Non-accessible
146,Non-accessible
147,Non-accessible
148,Non-accessible
149,Non-accessible
151,Non-accessible
150,Non-accessible
152,Non-accessible
153,Non-accessible
154,Non-accessible
155,Non-accessible
156,Non-accessible
157,Non-accessible
158,Non-accessible
159,Non-accessible
160,Non-accessible
161,Non-accessible
162,Non-accessible
163,Non-accessible
164,Non-accessible
165,Non-accessible
166,Non-accessible
167,Non-accessible
168,Non-accessible
169,Non-accessible
171,Non-accessible
170,Non-accessible
172,Non-accessible
173,Non-accessible
174,Non-accessible
175,Non-accessible
176,Non-accessible
177,Non-accessible
178,Non-accessible
179,Non-accessible
180,Non-accessible
181,Non-accessible
182,Non-accessible
183,Non-accessible
184,Non-accessible
185,Non-accessible
187,Non-accessible
186,Non-accessible
188,Non-accessible
189,Non-accessible
190,Non-accessible
191,Non-accessible
192,Non-accessible
193,Non-accessible
194,Non-accessible
195,Non-accessible
196,Non-accessible
197,Non-accessible
198,Non-accessible
199,Non-accessible
200,Non-accessible
201,Non-accessible
202,Non-accessible
203,Non-accessible
204,Non-accessible
205,Non-accessible
206,Non-accessible
207,Non-accessible
208,Non-accessible
209,Non-accessible
210,Non-accessible
211,Non-accessible
213,Non-accessible
212,Non-accessible
214,Non-accessible
215,Non-accessible
216,Non-accessible
217,Non-accessible
218,Non-accessible
219,Non-accessible
220,Non-accessible
221,Non-accessible
222,Non-accessible
223,Non-accessible
224,Non-accessible
225,Non-accessible
226,Non-accessible
227,Non-accessible
228,Non-accessible
229,Non-accessible
230,Non-accessible
231,Non-accessible
232,Non-accessible
233,Non-accessible
235,Non-accessible
234,Non-accessible
236,Non-accessible
237,Non-accessible
238,Non-accessible
239,Non-accessible
240,Non-accessible
241,Non-accessible
390,200
242,Non-accessible
243,Non-accessible
244,Non-accessible
245,Non-accessible
246,Non-accessible
248,Non-accessible
247,Non-accessible
249,Non-accessible
250,Non-accessible
251,Non-accessible
252,Non-accessible
253,Non-accessible
254,Non-accessible
255,Non-accessible
256,Non-accessible
257,Non-accessible
258,Non-accessible
259,Non-accessible
260,Non-accessible
262,Non-accessible
261,Non-accessible
264,Non-accessible
263,Non-accessible
265,Non-accessible
266,Non-accessible
267,Non-accessible
268,Non-accessible
269,Non-accessible
271,Non-accessible
270,Non-accessible
272,Non-accessible
273,Non-accessible
274,Non-accessible
275,Non-accessible
276,Non-accessible
277,Non-accessible
278,Non-accessible
279,Non-accessible
280,Non-accessible
281,Non-accessible
282,Non-accessible
283,Non-accessible
284,Non-accessible
285,Non-accessible
287,Non-accessible
286,Non-accessible
289,Non-accessible
288,Non-accessible
290,Non-accessible
291,Non-accessible
292,Non-accessible
293,Non-accessible
294,Non-accessible
295,Non-accessible
296,Non-accessible
297,Non-accessible
298,Non-accessible
299,Non-accessible
300,Non-accessible
301,Non-accessible
302,Non-accessible
303,Non-accessible
304,Non-accessible
305,Non-accessible
306,Non-accessible
307,Non-accessible
308,Non-accessible
309,Non-accessible
310,Non-accessible
311,Non-accessible
312,Non-accessible
313,Non-accessible
314,Non-accessible
315,Non-accessible
316,Non-accessible
317,Non-accessible
318,Non-accessible
319,Non-accessible
320,Non-accessible
321,Non-accessible
443,200
322,Non-accessible
323,Non-accessible
324,Non-accessible
325,Non-accessible
326,Non-accessible
327,Non-accessible
329,Non-accessible
328,Non-accessible
330,Non-accessible
331,Non-accessible
332,Non-accessible
333,Non-accessible
465,200
334,Non-accessible
335,Non-accessible
336,Non-accessible
337,Non-accessible
338,Non-accessible
339,Non-accessible
340,Non-accessible
341,Non-accessible
342,Non-accessible
343,Non-accessible
344,Non-accessible
345,Non-accessible
346,Non-accessible
347,Non-accessible
348,Non-accessible
349,Non-accessible
350,Non-accessible
351,Non-accessible
352,Non-accessible
353,Non-accessible
354,Non-accessible
355,Non-accessible
356,Non-accessible
357,Non-accessible
358,Non-accessible
359,Non-accessible
360,Non-accessible
361,Non-accessible
362,Non-accessible
363,Non-accessible
364,Non-accessible
365,Non-accessible
366,Non-accessible
368,Non-accessible
367,Non-accessible
369,Non-accessible
370,Non-accessible
371,Non-accessible
372,Non-accessible
373,Non-accessible
374,Non-accessible
375,Non-accessible
376,Non-accessible
377,Non-accessible
378,Non-accessible
379,Non-accessible
380,Non-accessible
381,Non-accessible
382,Non-accessible
383,Non-accessible
384,Non-accessible
386,Non-accessible
385,Non-accessible
387,Non-accessible
388,Non-accessible
389,Non-accessible
391,Non-accessible
392,Non-accessible
393,Non-accessible
394,Non-accessible
395,Non-accessible
